time,open,high,low,close,tick_volume,spread,real_volume
2023-10-09,27918.57,28002.39,27259.68,27579.64,152521,368,0
2023-10-10,27529.09,27738.15,27287.77,27398.72,157840,536,0
2023-10-11,27333.64,27478.14,26514.36,26697.76,165794,254,0
2023-10-12,26629.15,26936.68,26536.62,26723.99,171220,853,0
2023-10-13,26642.69,27051.07,26642.69,26944.67,136480,853,0
2023-10-14,26995.44,27075.3,26749.0,26847.13,101521,586,0
2023-10-15,26805.36,27227.03,26787.7,27194.35,106437,557,0
2023-10-16,27142.69,30420.52,27037.76,28354.86,178570,0,0
2023-10-17,28307.93,28630.84,28070.67,28464.21,177857,494,0
2023-10-18,28374.78,28995.87,28141.9,28251.27,151771,0,0
2023-10-19,28244.44,28930.42,28098.93,28714.73,123811,368,0
2023-10-20,28678.07,30251.49,28591.11,29604.16,187519,0,0
2023-10-21,29641.96,30377.73,29470.38,30032.86,125738,654,0
2023-10-22,30004.01,30276.73,29623.49,29860.74,128859,0,0
2023-10-23,29793.13,31832.36,29709.09,31552.09,189424,0,0
2023-10-24,31543.96,35493.54,31434.08,33630.44,169255,0,0
2023-10-25,33489.93,35131.14,33488.41,34678.8,208555,443,0
2023-10-26,34630.98,34844.61,33728.81,34187.73,209927,0,0
2023-10-27,34104.16,34296.37,33340.75,33797.09,207242,438,0
2023-10-28,33833.53,34531.44,33793.97,34133.39,130697,643,0
2023-10-29,34082.59,34774.87,33936.25,34593.67,163231,578,0
2023-10-30,34543.09,34876.72,34015.11,34447.75,173018,0,0
2023-10-31,34378.35,34733.66,34034.97,34639.27,174626,0,0
2023-11-01,34532.48,35481.81,34070.12,35329.15,164922,217,0
2023-11-02,35497.35,35977.65,34308.65,34918.11,221247,506,0
2023-11-03,34805.6,34978.63,34113.51,34636.86,172902,440,0
2023-11-04,34617.78,34960.85,34559.89,34767.04,124687,727,0
2023-11-05,34729.51,35333.4,34402.79,34669.02,165559,677,0
2023-11-06,34666.03,35370.27,34666.03,35009.8,170483,0,0
2023-11-07,34972.35,35917.71,34521.99,35519.38,168378,0,0
2023-11-08,35397.87,35929.37,35084.75,35585.54,164926,0,0
2023-11-09,35712.7,37997.05,35543.02,36529.44,219240,0,0
2023-11-10,36527.12,37467.12,36322.84,37348.08,195283,0,0
2023-11-11,37173.47,37511.43,36914.22,36986.74,153846,516,0
2023-11-12,36932.01,37241.33,36623.5,37179.76,175874,547,0
2023-11-13,37170.25,37437.15,36333.76,36514.37,181253,0,0
2023-11-14,36484.0,36759.5,34659.55,35587.78,196727,368,0
2023-11-15,35596.46,37858.42,35362.7,37645.47,202043,0,0
2023-11-16,37635.99,37978.28,35494.85,35977.37,197942,0,0
2023-11-17,36047.87,36818.74,35852.84,36390.37,168352,0,0
2023-11-18,36429.02,36852.37,36195.73,36566.81,107790,655,0
2023-11-19,36523.26,37088.37,36404.82,37019.4,100798,0,0
2023-11-20,36917.12,37776.59,36644.39,37420.79,137271,0,0
2023-11-21,37401.1,37670.45,36245.61,36834.56,170099,0,0
2023-11-22,36791.32,37867.31,35599.45,37606.64,177008,0,0
2023-11-23,37570.83,37759.43,36865.35,37248.93,159111,0,0
2023-11-24,37187.47,38442.37,37187.47,37839.31,163687,0,0
2023-11-25,37713.67,37912.1,37583.87,37825.59,113271,680,0
2023-11-26,37748.01,37846.85,37130.81,37647.83,108765,762,0
